Food,Amount (g),calories,water,protein,fat,carbohydr.,dietary fiber,alcohol,PUFA,cholesterol,Vit. A,carotene,Vit. E (eq.),Vit. B1,Vit. B2,Vit. B6,tot. fol.acid,Vit. C,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc
teff,100,100.9,74.9,3.9,0.7,19.9,2.8,,,,,,,,,,,,8,,,,,,
maize,40,132.4,4.9,3.4,1.5,25.9,3.7,0,0.6,0,74,0.4,0.8,0.1,0.1,0.2,10.4,0,2.4,132,6,48,102.4,0.6,1
barley,40,127.9,4.6,3.9,0.8,25.7,3.9,0,0.4,0,0,0,0.3,0.2,0.1,0.2,26,0,7.2,177.6,15.2,45.6,136.8,1.1,1
wheat,30,70.6,11.7,2.1,0.4,14.4,0.9,0,0.1,0,1.2,0,0.1,0,0,0,5.1,0,128.4,28.5,4.5,6,22.2,0.4,0.3
sorghum,50,166,,5.2,1.5,36.8,6.3,,0.7,0,3.5,,0.5,0.2,0.1,0.1,7,0,3.5,65.5,12.5,85.5,111,2,0.8
rice,100,112.1,72.1,2.6,0.8,23.3,0.8,0,0.3,0,0,0,0.3,0.1,0,0.1,4,0,4,59,9,62,122,1,0.6
pasta,100,149.6,61.2,5.4,0.5,30.3,2.3,0,0.2,0,0,0,0.1,0,0,0,10,0,1,59,10,22,71,0.5,0.7
oats,50,176.6,6.4,5.8,3.5,29.9,2.8,0,1.4,0,0,0,0.4,0.3,0.1,0.5,16.5,0,4,177.5,40,64.5,171,2.9,2.3
lentils,150,86.8,114.5,3.2,3.7,9.9,1.7,0,1.6,0,40.5,0.1,1.1,0,0,0.1,15,2.8,637.5,150,21,19.5,58.5,0.9,0.5
barley porridge,50,169.8,6.1,4.8,0.7,35.5,2.3,0,0.3,0,0,0,0.1,0,0,0.1,10,0,2.5,95,7,32.5,94.5,1,1
chickpeas,40,130.1,4,7.1,2.6,19.1,4.7,0,1.4,0,56.4,0.3,2.3,0.2,0.1,0.1,16,9.5,14.8,43.2,49.6,47.6,76.8,2.4,1.2
beans,130,81.4,100.6,7.1,0.5,11.8,6.9,0,0.3,0,1.3,0,0.2,0.1,0,0.1,35.1,0.5,258.7,443.3,39,50.7,133.9,2.1,1.1
kocho,100,198.4,,3,1,46.5,11,,,,,,,,,,,,,,,,,,
sweet potato,130,126.1,,2.7,0.1,29.8,1.6,,0.1,0,0,,6.5,0.1,0,0.3,20.8,15.6,3.9,393.9,10.4,33.8,50.7,1,0.6
carrot,150,31.5,135.8,1.4,0.3,5.4,5.5,0,0.2,0,2038.5,10.1,0.8,0.1,0.1,0.1,9,6.8,43.5,211.5,63,18,52.5,2.9,0.8
potatoes,200,137.2,160.2,3.9,0.2,28.5,4.6,0,0.1,0,2,0,0.1,0.2,0.1,0.4,30,24.1,4,666,12,36,92,0.8,0.6
chard,170,34.1,,1.9,0.3,7.5,5.3,,0.2,0,935,,3.4,0.1,0.1,0.3,200.6,45.9,49.3,345.1,232.9,37.4,49.3,1.4,0.2
cabbage,150,29.8,137.9,1.9,0.3,4.5,4.3,0,0.2,0,16.5,0.1,2.6,0,0,0.1,61.5,32,13.5,162,69,22.5,39,0.6,0.2
kale,150,48,,2.8,0.6,8.4,3,,0.3,0,1110,,1.5,0.1,0.1,0.2,19.5,61.5,34.5,342,108,27,42,1.3,0.3
tomatoes,80,15.7,74.9,0.8,0.2,2.3,0.9,0,0.1,0,75.2,0.5,0.8,0,0,0.1,19.2,12.2,4.8,180.8,12.8,12,23.2,0.4,0.2
pumpkin,240,48.2,,1.2,0.7,10.6,3.4,,0.5,0,482.4,,0,0.1,0,0.1,33.6,12,2.4,525.6,16.8,9.6,24,0.5,0.5
greenbeans,150,38,132.6,3.6,0.4,4.8,4.6,0,0.2,0,84,0.5,0.2,0.1,0.1,0.3,36,18.3,3,309,94.5,37.5,57,1.2,0.5
banana,120,110.4,,1.2,0.6,28.1,2.9,,0.1,0,9.6,,0,0.1,0.1,0.7,22.8,10.8,1.2,475.2,7.2,34.8,24,0.4,0.2
oranges,150,70.6,128.6,1.5,0.3,13.8,3.3,0,0.1,0,22.5,0.1,0.4,0.1,0.1,0.1,36,75,1.5,265.5,63,21,34.5,0.6,0.2
mango,150,97.5,,0.8,0.5,25.5,2.7,,0.2,0,600,,1.5,0.1,0.1,0.2,21,54,3,234,15,13.5,16.5,0.2,0
avocado,50,80.5,,1,7.7,3.7,3,,1,0,3,,0.5,0.1,0.1,0.1,31,4,5,299.5,5.5,19.5,20.5,0.5,0.2
guava,55,28,,0.4,0.3,6.5,3,,0.2,0,43.5,,0.6,0,0,0.1,7.7,101.2,1.6,156.2,11,5.5,13.8,0.2,0.1
papaya,145,56.5,,0.9,0.1,14.2,2.6,,0,0,195.8,,1.5,0,0,0,55.1,89.9,4.3,372.6,34.8,14.5,7.3,0.1,0.1
plums,150,70.6,128.3,0.9,0.3,15.3,2.6,0,0.1,0,91.5,0.5,1.3,0.1,0.1,0.1,3,7.5,3,330,21,15,27,0.7,0.1
pineapple,165,97,138.2,0.8,0.2,21.6,2.3,0,0.1,0,16.5,0.1,0.2,0.1,0,0.1,6.6,31.4,3.3,285.5,26.4,28,14.9,0.7,0.4
beef,85,274.5,,21.2,20.4,0,0,,0.8,69.7,0,,0,0.1,0.1,0.3,5.1,0,45,289,3.4,19.5,164.9,1.4,3.5
lamb,85,242.6,45.6,19.7,18.1,0.5,0,0,1.3,76.5,0,0,0.2,0.1,0.2,0.1,17.9,0.2,106.3,180.2,11.1,19.5,172.6,1.9,3.7
chicken,85,242.2,,22.9,16.1,0,0,,3.6,67.2,33.2,,0,0.1,0.2,0.2,4.3,0,62,154.7,11.1,17,153,1.2,1.5
goat,85,228.5,,21.2,15.3,0,0,,0.6,63.8,0,,0,0.1,0.1,0.3,5.1,0,45,289,3.4,19.5,164.9,1.4,3.5
fish,140,133.5,106.5,30.9,0.9,0,0,0,0.3,68.6,11.2,0,0.2,0,0.2,0.5,2.8,3,179.2,413,28,84,252,1,1
eggs,60,89.2,45.1,7.5,6.5,0.4,0,0,0.9,229.2,169.2,0,1.2,0,0.1,0.1,31.8,0,43.8,58.2,32.4,6,124.8,1,0.8
milk,250,164.9,,8,9.8,12,0,,0.3,35,137.5,,0,0.1,0.4,0.1,15,2.5,137.5,350,287.5,27.5,230,0.3,1
cheese,30,88.4,13,9.6,5.5,0,0,0,0.2,12.9,65.4,0,0.2,0,0.2,0,12,0,240,30,270,9,180,0.1,1.4
yogurt,150,69.2,134.2,5.1,2.3,6.1,0,0,0.1,7.5,33,0,0.1,0,0.3,0.1,15,1.5,75,240,195,18,135,0.1,0.6
milk powder,10,49.5,0.2,2.5,2.6,3.8,0,0,0.1,9.8,31.7,0,0,0,0.1,0,4,1,37,120,92,10,72,0.1,0.3
butter,20,148.2,3.1,0.1,16.6,0.1,0,0,0.6,48,130.6,0.1,0.4,0,0,0,0.6,0,1,3.2,2.6,0.6,4.2,0,0
oil,12,105.9,0,0,12,0,0,0,7.4,0.1,0.5,0,7.5,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0
honey,20,60.8,,0.1,0,16.5,0,,0,0,0,,0,0,0,0,0.4,0.2,0.8,10.4,1.2,0.4,0.8,0.1,0
sugar,5,20.3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
soft drinks,200,83.2,179.3,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,14,2,10,4,2,0.8,0.1
cakes,120,296.6,67.7,4.7,19.3,25.7,1.1,0,0.9,105.6,244.8,0.2,0.9,0,0.1,0,7.2,1,61.2,126,56.4,15.6,92.4,0.9,0.6
hamburger,150,335.2,79.3,31,12.8,23.5,1.5,0,0.6,61.5,34.5,0.1,0.6,0.1,0.3,0.1,7.5,0.7,243,288,15,25.5,199.5,3.4,5.5
pizza,420,1224.7,151.1,46.2,49.4,144.1,9.9,0,17.7,54.6,999.6,5.5,24.8,0.9,1,1.3,600.6,145.7,2011.8,3175.2,495.6,226.8,814.8,10.8,7.1
french fries,30,89.4,3.1,5.6,0.6,15.1,3.5,0,0.2,0,46.8,0.2,0.3,0.1,0.1,0.1,25.2,1.8,497.4,218.7,26.7,38.7,114.9,1.7,0.8
sambusa,100,162.5,,8,10,11,1,,,,,,,,,,,,213,110,,,,,
